,price_a,price_b,spread,zscore,position,hedge_ratio,raw_position,tradable_position,return_a,return_b,gross_strategy_return,transaction_cost,strategy_return,equity
2024-06-27,99.8274917602539,122.24532318115234,-0.04560575155255986,-0.9210472865277334,1,0.9673367602448374,1,1.0,-0.0021928045203419844,-0.002392262872849771,0.00012131929673452014,0.0,0.00012131929673452014,9387.001674371728
2024-06-28,99.12157440185548,122.14129638671876,-0.05187872191543885,-0.9673664386250074,1,0.9673367602448374,1,1.0,-0.007071372283836919,-0.0008509674785629473,-0.006248200160050119,0.0,-0.006248200160050119,9328.349809007528
2024-07-01,98.44429779052734,120.81737518310548,-0.048192505230979954,-0.9068862398965637,1,0.9673367602448374,1,1.0,-0.006832787063917545,-0.010839259470617812,0.0036524270758430608,0.0,0.0036524270758430608,9362.420926422883
2024-07-02,98.44429779052734,121.47933197021484,-0.053478063871223114,-0.9435702915129521,0,0.9673367602448374,1,1.0,0.0,0.005478986661530572,-0.00530002520658966,0.0,-0.00530002520658966,9312.79985951814
2024-07-03,97.61438751220705,121.00650024414062,-0.05817155852806355,-0.974215357056767,1,0.9673367602448374,1,0.0,-0.008430252406149585,-0.003892281249868512,-0.0,0.0019673367602448372,-0.0019673367602448372,9294.478446013707
2024-07-05,99.22650146484376,122.94509887695312,-0.05716582582458418,-0.9436095680009761,1,0.9673367602448374,1,1.0,0.01651512644521924,0.016020615660325754,0.0010177959952320202,0.0019673367602448372,-0.000949540765012817,9285.652959839683
2024-07-08,97.41407012939452,122.8599853515625,-0.074930390505064,-1.1189721931279661,1,0.9673367602448374,1,1.0,-0.01826559748346457,-0.0006922888847794573,-0.017595920996508498,0.0,-0.017595920996508498,9122.26334395735
2024-07-09,96.95619201660156,123.61653137207033,-0.08558019200414169,-1.2159905290334838,1,0.9673367602448374,1,1.0,-0.004700328322025382,0.006157790254841533,-0.010656985197411022,0.0,-0.010656985197411022,9025.047518533911
2024-07-10,98.30121612548828,125.04447174072266,-0.08291306143035193,-1.1630987935684587,1,0.9673367602448374,1,1.0,0.013872493142639275,0.011551370620118906,0.002698427710586055,0.0,0.002698427710586055,9049.40095684728
2024-07-11,99.37913513183594,128.81765747070312,-0.1007646976221892,-1.3382175607125815,1,0.9673367602448374,1,1.0,0.010965469694409702,0.03017475045041662,-0.01822367564749276,0.0,-0.01822367564749276,8884.487609005584
2024-07-12,99.41729736328124,131.522216796875,-0.12047998159286788,-1.5286891289573894,1,0.9673367602448374,1,1.0,0.0003840064757523187,0.020995253129695968,-0.01992547366724806,0.0,-0.01992547366724806,8707.459985105352
