,price_a,price_b,spread,zscore,position,hedge_ratio,raw_position,tradable_position,return_a,return_b,gross_strategy_return,transaction_cost,strategy_return,equity
2025-02-04,379.91949462890625,206.63449096679688,1.4631702114707563,-0.4606275754639678,0,0.8397730071870813,0,0.0,0.016640158831420893,0.02501973477402286,-0.0,0.0,-0.0,9696.041860452595
2025-02-05,386.3514404296875,192.2990875244141,1.5403375873436325,0.7359134496426071,0,0.8397730071870813,0,0.0,0.016929759835208724,-0.06937565638393961,0.0,0.0,0.0,9696.041860452595
2025-02-06,375.7674255371094,192.3090362548828,1.5125171224427376,0.3128425324100476,0,0.8397730071870813,0,0.0,-0.027394785640780683,5.173571334537996e-05,-0.0,0.0,-0.0,9696.041860452595
2025-02-07,374.4480590820313,186.1709899902344,1.5362404507667673,0.683534883271188,0,0.8397730071870813,0,0.0,-0.0035111251412817124,-0.03191761751909128,0.0,0.0,0.0,9696.041860452595
2025-02-10,375.3308715820313,187.2255096435547,1.5338520464556007,0.6466101454854208,0,0.8397730071870813,0,0.0,0.0023576367364921413,0.005664253347826165,-0.0,0.0,-0.0,9696.041860452595
2025-02-11,378.3576354980469,186.1013641357422,1.546941349843748,0.8454144703828655,0,0.8397730071870813,0,0.0,0.008064255155078692,-0.006004232596042547,0.0,0.0,0.0,9696.041860452595
2025-02-12,377.212890625,184.46983337402344,1.5513058623899312,0.9109287407090727,0,0.8397730071870813,0,0.0,-0.0030255630272665313,-0.008766893081604277,0.0,0.0,0.0,9696.041860452595
2025-02-13,377.8919982910156,186.90716552734375,1.5420816231828294,0.7716039454891387,0,0.8397730071870813,0,0.0,0.001800329953969504,0.013212632703898386,-0.0,0.0,-0.0,9696.041860452595
2025-02-14,376.40771484375,185.9023895263672,1.5426727229647943,0.7839243519281925,0,0.8397730071870813,0,0.0,-0.003927798032184238,-0.005375802463975399,0.0,0.0,0.0,9696.041860452595
2025-02-18,375.9808654785156,184.8379364013672,1.546360322500612,0.845633370052149,0,0.8397730071870813,0,0.0,-0.001134008014186283,-0.00572587112899392,0.0,0.0,0.0,9696.041860452595
2025-02-19,378.5613708496094,186.1610565185547,1.5472103621942805,0.8638907975019159,0,0.8397730071870813,0,0.0,0.006863395475749767,0.0071582714184517116,0.0,0.0,0.0,9696.041860452595
2025-02-20,373.3421020507813,185.673583984375,1.535529197153676,0.6968614414200779,0,0.8397730071870813,0,0.0,-0.013787114060566763,-0.0026185526838751194,-0.0,0.0,-0.0,9696.041860452595
2025-02-21,353.3769836425781,180.6397705078125,1.5036509415002106,0.20644312036251417,0,0.8397730071870813,0,0.0,-0.05347673969406097,-0.027111091241638907,-0.0,0.0,-0.0,9696.041860452595
2025-02-24,353.0374450683594,180.25181579589844,1.5044951353096447,0.23462517464083804,0,0.8397730071870813,0,0.0,-0.0009608395281401894,-0.002147670531375545,0.0,0.0,0.0,9696.041860452595
2025-02-25,352.1061096191406,176.45156860351562,1.5197478128236224,0.4967773044676391,0,0.8397730071870813,0,0.0,-0.002638064211682778,-0.02108298979182477,0.0,0.0,0.0,9696.041860452595
2025-02-26,347.6435546875,173.79541015625,1.519730293011511,0.5142099032933878,0,0.8397730071870813,0,0.0,-0.012673892357243144,-0.01505318693558333,-0.0,0.0,-0.0,9696.041860452595
2025-02-27,346.207763671875,169.3286590576172,1.5374570532232479,0.8297143877318927,0,0.8397730071870813,0,0.0,-0.004130066547373912,-0.025701202894926833,0.0,0.0,0.0,9696.041860452595
2025-02-28,338.0878601074219,171.32827758789062,1.503864925664086,0.29264901172516355,0,0.8397730071870813,0,0.0,-0.023453845974837573,0.011809096826267407,-0.0,0.0,-0.0,9696.041860452595
2025-03-03,334.6827392578125,167.7866973876953,1.5112832987017084,0.45238557091143683,0,0.8397730071870813,0,0.0,-0.010071703989984915,-0.02067131153162094,0.0,0.0,0.0,9696.041860452595
2025-03-04,335.4490966796875,171.7162322998047,1.4941299167721294,0.17586895663763835,0,0.8397730071870813,0,0.0,0.0022898026458564313,0.023419823938900297,-0.0,0.0,-0.0,9696.041860452595
2025-03-05,337.85504150390625,174.08392333984375,1.4897766093073308,0.11993838371575087,0,0.8397730071870813,0,0.0,0.007172309742470739,0.013788393842145474,-0.0,0.0,-0.0,9696.041860452595
2025-03-06,331.6268310546875,173.3079376220703,1.474921699042298,-0.13417558035568308,0,0.8397730071870813,0,0.0,-0.018434564189111713,-0.0044575380821270105,-0.0,0.0,-0.0,9696.041860452595
2025-03-07,331.9566955566406,174.83998107910156,1.4685249110868304,-0.23725138748189023,0,0.8397730071870813,0,0.0,0.0009946858066460784,0.008840007434467001,-0.0,0.0,-0.0,9696.041860452595
2025-03-10,325.2821960449219,167.1312713623047,1.4860801971265714,0.12399964440384198,0,0.8397730071870813,0,0.0,-0.020106536789464724,-0.044090085512588084,0.0,0.0,0.0,9696.041860452595
2025-03-11,317.9966125488281,165.3086700439453,1.4726360263331957,-0.12587388461746582,0,0.8397730071870813,0,0.0,-0.022397732137444115,-0.010905208244412656,-0.0,0.0,-0.0,9696.041860452595
2025-03-12,314.6399841308594,168.3164520263672,1.446882093363243,-0.6261842081457368,0,0.8397730071870813,0,0.0,-0.010555547718148595,0.018194943928968144,-0.0,0.0,-0.0,9696.041860452595
2025-03-13,307.5968933105469,164.06373596191406,1.4457336705944055,-0.6411105239198908,0,0.8397730071870813,0,0.0,-0.02238460200717296,-0.025266193608851295,-0.0,0.0,-0.0,9696.041860452595
2025-03-14,309.29461669921875,166.9420623779297,1.4366326147025497,-0.8107399876508824,0,0.8397730071870813,0,0.0,0.005519312534011389,0.017543952654374584,-0.0,0.0,-0.0,9696.041860452595
2025-03-17,315.9787292480469,165.8962860107422,1.463290381011662,-0.2678062572796056,0,0.8397730071870813,0,0.0,0.02161082730815278,-0.0062643072230653685,0.0,0.0,0.0,9696.041860452595
2025-03-18,314.3877258300781,162.01206970214844,1.478138381622041,0.034996403501810554,0,0.8397730071870813,0,0.0,-0.0050351598721690705,-0.023413521797240433,0.0,0.0,0.0,9696.041860452595
2025-03-19,314.77581787109375,165.60745239257812,1.4609395388486952,-0.3039393788273637,0,0.8397730071870813,0,0.0,0.00123443763585529,0.022192066906123964,-0.0,0.0,-0.0,9696.041860452595
2025-03-20,291.919677734375,164.38243103027344,1.3917925377621412,-1.650414764192195,0,0.8397730071870813,0,0.0,-0.072610851403073,-0.0073971391057977565,-0.0,0.0,-0.0,9696.041860452595
2025-03-21,296.19793701171875,165.5775909423828,1.4002582166840103,-1.446076243717432,0,0.8397730071870813,0,0.0,0.01465560427631285,0.0072706061384946175,0.0,0.0,0.0,9696.041860452595
2025-03-24,298.0023498535156,169.24269104003906,1.38794581754036,-1.641463973791674,0,0.8397730071870813,0,0.0,0.0060919156291270316,0.022135242316284387,-0.0,0.0,-0.0,9696.041860452595
2025-03-25,299.6709899902344,172.09112548828125,1.379513463157064,-1.7518420179039609,0,0.8397730071870813,0,0.0,0.005599419392293248,0.016830472446035083,-0.0,0.0,-0.0,9696.041860452595
2025-03-26,301.86346435546875,166.46397399902344,1.4147215409650151,-1.0622165330943765,0,0.8397730071870813,0,0.0,0.007316271639459693,-0.03269867329469589,0.0,0.0,0.0,9696.041860452595
2025-03-27,299.31207275390625,163.41636657714844,1.421750448802566,-0.9090452087378327,0,0.8397730071870813,0,0.0,-0.008452137813399041,-0.01830790980571495,0.0,0.0,0.0,9696.041860452595
2025-03-28,295.23748779296875,155.42880249023438,1.4501278016131778,-0.3608637963697568,0,0.8397730071870813,0,0.0,-0.013613166096001827,-0.04887860533322497,0.0,0.0,0.0,9696.041860452595
2025-03-31,302.7171936035156,155.59811401367188,1.4742324583209978,0.10301606827160512,0,0.8397730071870813,0,0.0,0.02533453954801268,0.0010893188439005108,0.0,0.0,0.0,9696.041860452595
2025-04-01,304.2111511230469,158.23739624023438,1.4650305627298437,-0.06645839449657187,0,0.8397730071870813,0,0.0,0.0049351591224380265,0.016962173631041466,-0.0,0.0,-0.0,9696.041860452595
2025-04-02,306.87896728515625,158.2174835205078,1.4738676372019102,0.10313969453405683,0,0.8397730071870813,0,0.0,0.008769619891515035,-0.00012584079490496336,0.0,0.0,0.0,9696.041860452595
2025-04-03,292.4532775878906,152.01266479492188,1.4593156986030067,-0.16535222947353004,0,0.8397730071870813,0,0.0,-0.04700774974865274,-0.03921702322349019,-0.0,0.0,-0.0,9696.041860452595
2025-04-04,276.5432434082031,147.14244079589844,1.4307232903978333,-0.6929245258433722,0,0.8397730071870813,0,0.0,-0.05440196913131223,-0.032038277900027556,-0.0,0.0,-0.0,9696.041860452595
2025-04-07,276.21337890625,148.63638305664062,1.4210465136216444,-0.8618220062474191,0,0.8397730071870813,0,0.0,-0.001192813456180608,0.010153034383971082,-0.0,0.0,-0.0,9696.041860452595
2025-04-08,272.9828796386719,145.98715209960938,1.4243846646262002,-0.7789415867522349,0,0.8397730071870813,0,0.0,-0.01169566543217515,-0.017823569859216182,0.0,0.0,0.0,9696.041860452595
2025-04-09,290.9786682128906,160.40858459472656,1.4091142265860235,-1.0610764782652122,0,0.8397730071870813,0,0.0,0.0659227736114385,0.09878562796592694,-0.0,0.0,-0.0,9696.041860452595
2025-04-10,278.070556640625,154.74159240722656,1.393943797724953,-1.338499427913804,0,0.8397730071870813,0,0.0,-0.04436102361572969,-0.03532848445622594,-0.0,0.0,-0.0,9696.041860452595
2025-04-11,277.21258544921875,158.75527954101562,1.369349252419278,-1.7920682705643374,0,0.8397730071870813,0,0.0,-0.0030854442188034126,0.02593799812545816,-0.0,0.0,-0.0,9696.041860452595
2025-04-14,282.5260314941406,160.8169403076172,1.37749984810322,-1.5908859823938273,0,0.8397730071870813,0,0.0,0.019167405535760684,0.012986407586331072,0.0,0.0,0.0,9696.041860452595
2025-04-15,281.4243469238281,158.0382080078125,1.3882299548396126,-1.3430733792511482,0,0.8397730071870813,0,0.0,-0.0038994090720994024,-0.01727885317609834,0.0,0.0,0.0,9696.041860452595
2025-04-16,278.0900573730469,154.87106323242188,1.393311587641235,-1.214053520769464,0,0.8397730071870813,0,0.0,-0.011847907216370746,-0.020040373877398432,0.0,0.0,0.0,9696.041860452595
2025-04-17,275.2724914550781,152.73974609375,1.3947651795211433,-1.1595430361099832,0,0.8397730071870813,0,0.0,-0.0101318470159798,-0.013761880974971552,0.0,0.0,0.0,9696.041860452595
2025-04-21,272.230712890625,149.25387573242188,1.403041237416783,-0.9728383714492734,0,0.8397730071870813,0,0.0,-0.011050063696428247,-0.022822287259719132,0.0,0.0,0.0,9696.041860452595
2025-04-22,276.84210205078125,153.27752685546875,1.3974994489926589,-1.0605467127432926,0,0.8397730071870813,0,0.0,0.01693926857550787,0.02695843644462781,-0.0,0.0,-0.0,9696.041860452595
