ticker_a,ticker_b,lookback,entry_z,exit_z,total_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,entries,exits,turnover,win_rate,average_trade_return,cointegration_p_value
BETA,DELTA,90,1.5,0.5,1.1606263631046856,0.36091771828084607,0.2612000429366453,1.3817674538759075,-0.18048112278150452,21,21,42.0,0.7619047619047619,0.039770953631653116,7.55780397109993e-08
BETA,DELTA,60,1.5,0.25,1.3668986350293975,0.4114706883041559,0.30450043384341585,1.3512975436867445,-0.17718387092068222,25,25,50.0,0.76,0.03729701428819436,7.55780397109993e-08
BETA,DELTA,60,2.0,0.5,0.8965557153065242,0.2917731169593605,0.23569959144160002,1.2379025147001748,-0.19638529091806267,17,17,34.0,0.8235294117647058,0.04027663126436782,7.55780397109993e-08
BETA,DELTA,90,1.5,0.25,1.033931971715151,0.3284174421117938,0.2894068250095221,1.1347950833605538,-0.17718387092068266,21,21,42.0,0.6666666666666666,0.03747940092640185,7.55780397109993e-08
BETA,DELTA,60,2.5,0.25,0.6720162820753055,0.22827666438433059,0.20652153819345936,1.1053407135215703,-0.19638529091806256,12,12,24.0,0.75,0.046504490195004966,7.55780397109993e-08
BETA,DELTA,90,2.0,0.5,0.677397597387043,0.22985640330609303,0.21448785617054741,1.0716522949594196,-0.19873953258617783,13,13,26.0,0.7692307692307693,0.0431843711255594,7.55780397109993e-08
BETA,DELTA,60,2.5,0.5,0.5730758984980109,0.19867064809368262,0.1989548821129344,0.9985713644408563,-0.196385290918063,12,12,24.0,0.75,0.04098452344586676,7.55780397109993e-08
BETA,DELTA,60,2.0,0.25,0.7170571657794103,0.2414061761575068,0.2489446037600742,0.9697184534683357,-0.1987395325861776,15,15,30.0,0.8,0.038805249898198016,7.55780397109993e-08
BETA,DELTA,90,2.0,0.25,0.5987625907271519,0.2064618433660781,0.22918312905721416,0.9008596933613563,-0.19638529091806256,13,13,26.0,0.7692307692307693,0.039465726695937904,7.55780397109993e-08
BETA,DELTA,40,2.0,0.25,0.7278574550578836,0.2445236798890731,0.2924670109151393,0.8360726877330544,-0.25141867812879803,25,24,49.0,0.76,0.02423043709410712,7.55780397109993e-08
BETA,DELTA,90,2.5,0.25,0.41062611668481774,0.14753190224338764,0.1951252135690436,0.7560883575468045,-0.19638529091806267,9,9,18.0,0.6666666666666666,0.04236201706309246,7.55780397109993e-08
BETA,DELTA,90,2.5,0.5,0.33417803330885887,0.12223940607349038,0.18524397261477904,0.659883311440806,-0.196385290918063,9,9,18.0,0.6666666666666666,0.03558670493068355,7.55780397109993e-08
BETA,DELTA,40,2.5,0.5,0.14784900663435452,0.05670534723794418,0.1580865546862085,0.3586981027608616,-0.19638529091806245,7,7,14.0,0.7142857142857143,0.02205352155679687,7.55780397109993e-08
BETA,DELTA,40,2.5,0.25,0.03992414532472455,0.015782355643430224,0.2059474087466407,0.07663294109636452,-0.19638529091806245,9,9,18.0,0.5555555555555556,0.006309815105718906,7.55780397109993e-08
BETA,DELTA,90,2.5,0.0,0.013054852768312974,0.005201630803939317,0.41690700262719116,0.012476717280258176,-0.3499207985307311,25,24,49.0,0.52,0.00465040080227078,7.55780397109993e-08
BETA,DELTA,90,2.0,0.0,-0.27573081531091603,-0.12105843411774764,0.42530103377440714,-0.28464175843494605,-0.5113443688783249,25,24,49.0,0.48,-0.00828870183458096,7.55780397109993e-08
BETA,DELTA,60,2.0,0.0,-0.2918709802632248,-0.1289462455517697,0.43171833071322874,-0.29868142346131454,-0.4855584953152634,27,26,53.0,0.37037037037037035,-0.009719556557655665,7.55780397109993e-08
BETA,DELTA,60,1.5,0.0,-0.29656873249241766,-0.13126230235597747,0.43190273576553584,-0.3039163484883202,-0.4304454087554773,27,26,53.0,0.4074074074074074,-0.009078307419829698,7.55780397109993e-08
BETA,DELTA,60,2.5,0.0,-0.3222247602300786,-0.14407782181306994,0.4374236737955023,-0.3293781988590472,-0.5276314013325776,27,26,53.0,0.4444444444444444,-0.010858612311708942,7.55780397109993e-08
BETA,DELTA,40,2.5,0.0,-0.33855082506409473,-0.15238508209558543,0.4417409310989577,-0.34496482297097464,-0.5113443688783268,27,26,53.0,0.4444444444444444,-0.01089723441980693,7.55780397109993e-08
BETA,DELTA,40,1.5,0.0,-0.3472889311044294,-0.156881942197879,0.44349597164610105,-0.3537392721191771,-0.4283812714101408,28,27,55.0,0.4642857142857143,-0.011977614669136728,7.55780397109993e-08
BETA,DELTA,40,2.0,0.0,-0.3472889311044294,-0.156881942197879,0.44349597164610105,-0.3537392721191771,-0.4283812714101408,28,27,55.0,0.4642857142857143,-0.011977614669136728,7.55780397109993e-08
BETA,DELTA,90,1.5,0.0,-0.3746926551542834,-0.1712235308463409,0.4243988802029394,-0.4034495349386056,-0.49301566693671517,25,24,49.0,0.4,-0.014042254532858562,7.55780397109993e-08
BETA,GAMMA,60,2.0,0.5,1.647561143573276,0.47617688122169777,0.2556724254855763,1.8624491097048759,-0.1376907430147315,21,21,42.0,0.9047619047619048,0.049434082230724465,5.749035663338795e-05
BETA,GAMMA,40,1.5,0.5,1.9646407783304296,0.5445032667127647,0.29602462977052824,1.8393850104123148,-0.22735282493733766,39,39,78.0,0.8717948717948718,0.029886943634273352,5.749035663338795e-05
BETA,GAMMA,40,2.0,0.5,1.2921444870375516,0.3934673460710245,0.23749902975948387,1.6567113830717133,-0.14051233218219372,22,22,44.0,0.9090909090909091,0.04038160255313185,5.749035663338795e-05
